,UNICODE,CHARACTER,RADICAL
0,U+4E00,一,一
1,U+4E01,丁,丁
2,U+4E02,丂,丂
3,U+4E03,七,七
4,U+4E04,丄,丄
5,U+4E05,丅,丅
6,U+4E06,丆,一 丿
7,U+4E07,万,万
8,U+4E08,丈,丈
9,U+4E09,三,三
10,U+4E0A,上,上
11,U+4E0B,下,下
12,U+4E0C,丌,丌
13,U+4E0D,不,不
14,U+4E0E,与,&CDP-8BBF; 一
15,U+4E0F,丏,丏
16,U+4E10,丐,丐
17,U+4E11,丑,丑
18,U+4E12,丒,刃 一
19,U+4E13,专,专
20,U+4E14,且,且
21,U+4E15,丕,不 一
22,U+4E16,世,世
23,U+4E17,丗,丗
24,U+4E18,丘,丘
25,U+4E19,丙,一 内
26,U+4E1A,业,业
27,U+4E1B,丛,人 人 一
28,U+4E1C,东,东
29,U+4E1D,丝,&CDP-895C; &CDP-895C; 一
30,U+4E1E,丞,氶 一
31,U+4E1F,丟,一 土 厶
32,U+4E20,丠,&CDP-8BC5; 匕 一
33,U+4E21,両,両
34,U+4E22,丢,丿 土 厶
35,U+4E23,丣,丣
36,U+4E24,两,两
37,U+4E25,严,严
38,U+4E26,並,䒑 业
39,U+4E27,丧,&CDP-8A65; &CDP-8CC6;
40,U+4E28,丨,丨
41,U+4E29,丩,丩
42,U+4E2A,个,𠆢 丨
43,U+4E2B,丫,丫
44,U+4E2C,丬,丬
45,U+4E2D,中,中
46,U+4E2E,丮,⺄ &CDP-8BF1;
47,U+4E2F,丯,丯
48,U+4E30,丰,丰
49,U+4E31,丱,丱
50,U+4E32,串,串
51,U+4E33,丳,丳
52,U+4E34,临,&U-i003+76D1; 𫩏
53,U+4E35,丵,业 𢆉
54,U+4E36,丶,丶
55,U+4E37,丷,丶 丿
56,U+4E38,丸,丸
57,U+4E39,丹,丹
58,U+4E3A,为,为
59,U+4E3B,主,丶 王
60,U+4E3C,丼,井 丶
61,U+4E3D,丽,一 冂 丶 冂 丶
62,U+4E3E,举,𭕄 一 八 &CDP-8BF1;
63,U+4E3F,丿,丿
64,U+4E40,乀,乀
65,U+4E41,乁,乁
66,U+4E42,乂,乂
67,U+4E43,乃,乃
68,U+4E44,乄,乄
69,U+4E45,久,久
70,U+4E46,乆,乆
71,U+4E47,乇,丿 七
72,U+4E48,么,丿 厶
73,U+4E49,义,义
74,U+4E4A,乊,丿 丶 丿
75,U+4E4B,之,之
76,U+4E4C,乌,&CDP-89DE; 一
77,U+4E4D,乍,乍
78,U+4E4E,乎,乎
79,U+4E4F,乏,丿 之
80,U+4E50,乐,乐
81,U+4E51,乑,乑
82,U+4E52,乒,丘 丿
83,U+4E53,乓,丘 丶
84,U+4E54,乔,丿 大 &CDP-89AB;
85,U+4E55,乕,𠂆 &CDP-89ED;
86,U+4E56,乖,乖
87,U+4E57,乗,乗
88,U+4E58,乘,乘
89,U+4E59,乙,乙
90,U+4E5A,乚,乚
91,U+4E5B,乛,乛
92,U+4E5C,乜,乜
93,U+4E5D,九,九
94,U+4E5E,乞,𠂉 乙
95,U+4E5F,也,也
96,U+4E60,习,习
97,U+4E61,乡,乡
98,U+4E62,乢,山 乚
99,U+4E63,乣,幺 乚
100,U+4E64,乤,下 乙
101,U+4E65,乥,丿 丶 丿 乙
102,U+4E66,书,书
103,U+4E67,乧,斗 乙
104,U+4E68,乨,厶 口 乚
105,U+4E69,乩,⺊ 囗 乚
106,U+4E6A,乪,乙 田
107,U+4E6B,乫,力 口 乙
108,U+4E6C,乬,巨 乙
109,U+4E6D,乭,石 乙
110,U+4E6E,乮,&CDP-8D41; 卩 乙
111,U+4E6F,乯,乎 乙
112,U+4E70,买,乛 头
113,U+4E71,乱,舌 乚
114,U+4E72,乲,冫 欠 乙
115,U+4E73,乳,爫 子 乚
116,U+4E74,乴,扌 斤 乙
117,U+4E75,乵,辛 乚
118,U+4E76,乶,甫 乙
119,U+4E77,乷,氵 小 丿 乙
120,U+4E78,乸,也 母
121,U+4E79,乹,𠦝 乚
122,U+4E7A,乺,戶 斤 乙
123,U+4E7B,乻,方 𠆢 &CDP-8971; 乙
124,U+4E7C,乼,氵 丶 王 乙
125,U+4E7D,乽,耂 日 乙
126,U+4E7E,乾,𠦝 𠂉 乙
127,U+4E7F,乿,爫 糸 乚
128,U+4E80,亀,⺈ &CDP-89BD;
129,U+4E81,亁,十 日 干 𠂉 乙
130,U+4E82,亂,𤔔 乚
131,U+4E83,亃,米 舛 乚
132,U+4E84,亄,士 冖 豆 乚
133,U+4E85,亅,亅
134,U+4E86,了,了
135,U+4E87,亇,&CDP-8DD8; 亅
136,U+4E88,予,予
137,U+4E89,争,⺈ &CDP-8BFE;
138,U+4E8A,亊,亊
139,U+4E8B,事,事
140,U+4E8C,二,二
141,U+4E8D,亍,一 丁
142,U+4E8E,于,于
143,U+4E8F,亏,一 丂
144,U+4E90,亐,一 𠀁
145,U+4E91,云,二 厶
146,U+4E92,互,互
147,U+4E93,亓,一 丌
148,U+4E94,五,五
149,U+4E95,井,井
150,U+4E96,亖,二 二
151,U+4E97,亗,山 二
152,U+4E98,亘,一 日 一
153,U+4E99,亙,二 &CDP-8959;
154,U+4E9A,亚,亚
155,U+4E9B,些,止 匕 二
156,U+4E9C,亜,亜
157,U+4E9D,亝,厶 厶 厶 二
158,U+4E9E,亞,亞
159,U+4E9F,亟,亟
160,U+4EA0,亠,亠
161,U+4EA1,亡,亡
162,U+4EA2,亢,亠 几
163,U+4EA3,亣,亠 &CDP-89AB;
164,U+4EA4,交,亠 父
165,U+4EA5,亥,亠 &GT-00154; 人
166,U+4EA6,亦,亠 &CDP-8CB5;
167,U+4EA7,产,&CDP-8BAE; 厂
168,U+4EA8,亨,亠 口 了
169,U+4EA9,亩,亠 田
170,U+4EAA,亪,亠 &CDP-8CB5; 乁
171,U+4EAB,享,亠 口 子
172,U+4EAC,京,亠 口 小
173,U+4EAD,亭,亠 口 冖 丁
174,U+4EAE,亮,亠 口 冖 几
175,U+4EAF,亯,亠 口 日
176,U+4EB0,亰,亠 &CDP-8CED;
177,U+4EB1,亱,亠 亻 日 一
178,U+4EB2,亲,立 朩
179,U+4EB3,亳,亠 口 冖 丿 七
180,U+4EB4,亴,亠 口 冖 土 九
181,U+4EB5,亵,亠 扌 丸 &CDP-8B67;
182,U+4EB6,亶,㐭 日 一
183,U+4EB7,亷,&CDP-8BAE; 厂 &CDP-8CDE;
184,U+4EB8,亸,亠 口 了 丶 丿 &CDP-8BD9;
185,U+4EB9,亹,亠 &CDP-8B64; 𠔼 口 且
186,U+4EBA,人,人
187,U+4EBB,亻,亻
188,U+4EBC,亼,𠆢 一
189,U+4EBD,亽,𠆢 丶
190,U+4EBE,亾,𠃊 人
191,U+4EBF,亿,亻 乙
192,U+4EC0,什,亻 十
193,U+4EC1,仁,亻 二
194,U+4EC2,仂,亻 力
195,U+4EC3,仃,亻 丁
196,U+4EC4,仄,厂 人
197,U+4EC5,仅,亻 又
198,U+4EC6,仆,亻 卜
199,U+4EC7,仇,亻 九
200,U+4EC8,仈,亻 八
201,U+4EC9,仉,亻 几
202,U+4ECA,今,𠆢 𪜊
203,U+4ECB,介,𠆢 &CDP-89AB;
204,U+4ECC,仌,人 人
205,U+4ECD,仍,亻 乃
206,U+4ECE,从,人 人
207,U+4ECF,仏,亻 厶
208,U+4ED0,仐,𠆢 十
209,U+4ED1,仑,𠆢 匕
210,U+4ED2,仒,𠆢 &CDP-8971;
211,U+4ED3,仓,𠆢 㔾
212,U+4ED4,仔,亻 子
213,U+4ED5,仕,亻 士
214,U+4ED6,他,亻 也
215,U+4ED7,仗,亻 丈
216,U+4ED8,付,亻 寸
217,U+4ED9,仙,亻 山
218,U+4EDA,仚,𠆢 山
219,U+4EDB,仛,亻 丿 七
220,U+4EDC,仜,亻 工
221,U+4EDD,仝,𠆢 工
222,U+4EDE,仞,亻 刀 丿
223,U+4EDF,仟,亻 千
224,U+4EE0,仠,亻 干
225,U+4EE1,仡,亻 𠂉 乙
226,U+4EE2,仢,亻 勹 丶
227,U+4EE3,代,亻 弋
228,U+4EE4,令,𠆢 丶 龴
229,U+4EE5,以,&CDP-89EB; 人
230,U+4EE6,仦,亻 小
231,U+4EE7,仧,上 人
232,U+4EE8,仨,亻 三
233,U+4EE9,仩,亻 上
234,U+4EEA,仪,亻 义
235,U+4EEB,仫,亻 丿 厶
236,U+4EEC,们,亻 门
237,U+4EED,仭,亻 刄
238,U+4EEE,仮,亻 𠂆 又
239,U+4EEF,仯,亻 小 丿
240,U+4EF0,仰,亻 &CDP-8CBD; 卩
241,U+4EF1,仱,亻 𠆢 𪜊
242,U+4EF2,仲,亻 中
243,U+4EF3,仳,亻 比
